id,name,description,price_100gm,purchase_unit_gram,purchase_unit_label
67,Cherries,"Cherries, raw (Includes cherries, NFS)",0.709667,250,approximately 250 g
68,Fig,"Fig, raw",1.151187,250,approximately 250 g
69,Grapes,"Grapes, raw",0.495558,250,approximately 250 g
70,Guava,"Guava, raw",0.65975,250,approximately 250 g
71,Kiwi,"Kiwi fruit, raw (Includes kiwifruit)",0.710106,250,approximately 250 g
72,Honeydew melon,"Honeydew melon, raw",0.48708,250,approximately 250 g
73,Mango,"Mango, raw (Includes Mango, NFS)",0.489508,250,approximately 250 g
74,Nectarine,"Nectarine, raw",0.495194,250,approximately 250 g
75,Papaya,"Papaya, raw",0.480464,250,approximately 250 g
76,Passion fruit,"Passion fruit, raw",0.785388,250,approximately 250 g
77,Peach,"Peach, raw (Includes peach, NFS)",0.424326,250,approximately 250 g
78,Pear,"Pear, raw (Includes pear, NFS)",0.383553,250,approximately 250 g
79,Persimmon,"Persimmon, raw",0.356133,250,approximately 250 g
80,Pineapple,"Pineapple, raw (Includes pineapple, NFS)",0.468533,250,approximately 250 g
81,Plum,"Plum, raw (Includes plum, NFS)",0.497493,250,approximately 250 g
82,Pomegranate,"Pomegranate, raw",1.28677,250,approximately 250 g
83,Watermelon,"Watermelon, raw",0.223994,250,approximately 250 g
84,Blackberries,"Blackberries, raw (Includes boysenberries; dewberries; loganberries; youngberries; blackberries, NFS)",1.392896,250,approximately 250 g
85,Blueberries,"Blueberries, raw (Includes blueberries, NFS)",1.104237,250,approximately 250 g
86,Cranberries,"Cranberries, raw",0.600932,250,approximately 250 g
87,Raspberries,"Raspberries, raw (Includes raspberries, NFS)",1.746899,250,approximately 250 g
88,Strawberries,"Strawberries, raw (Includes strawberries, NFS)",0.600141,250,approximately 250 g
89,Collard greens,"Collards, raw (Includes collard greens)",0.53198,250,approximately 250 g
90,Romaine lettuce,"Romaine lettuce, raw (Includes endive; chicory; escarole; green leaf)",0.784008,250,approximately 250 g
91,Kale,"Kale, raw",0.681039,250,approximately 250 g
92,Spinach,"Spinach, raw",0.989603,250,approximately 250 g
93,Broccoli,"Broccoli, raw",0.742143,250,approximately 250 g
94,Carrots,"Carrots, raw",0.301321,250,approximately 250 g
95,Winter squash,"Winter squash, raw (Includes pumpkin; acorn; butternut; hubbard)",0.231435,250,approximately 250 g
96,Tomatoes,"Tomatoes, raw (Includes plum and Italian tomatoes)",0.51767,250,approximately 250 g
97,Alfalfa sprouts,"Alfalfa sprouts, raw",1.621247,250,approximately 250 g
98,Asparagus,"Asparagus, raw",1.231178,250,approximately 250 g
99,Bean sprouts,"Bean sprouts, raw (Includes soybean or mung)",0.775202,250,approximately 250 g
100,Green beans,"Green beans, raw (Includes string beans)",0.62435,250,approximately 250 g
101,Brussels sprouts,"Brussels sprouts, raw",0.69464,250,approximately 250 g
102,Green cabbage,"Cabbage, green, raw (Includes cabbage, NS as to color)",0.205682,250,approximately 250 g
103,Chinese cabbage,"Cabbage, Chinese, raw (Includes Napa; Pa-tsai; Pak-choi / Bok choy)",0.427058,250,approximately 250 g
104,Cactus,"Cactus, raw",0.408203,250,approximately 250 g
105,Cauliflower,"Cauliflower, raw",0.914896,250,approximately 250 g
106,Celery,"Celery, raw (Includes celery, NFS)",0.349821,500,1 bunch (~500 g)
107,Fennel bulb,"Fennel bulb, raw",0.722761,250,approximately 250 g
108,Basil,"Basil, raw",6.719017,100,1 standard portion (~100 g)
109,Chives,"Chives, raw (Includes chives, NFS)",5.854104,100,1 standard portion (~100 g)
110,Cilantro,"Cilantro, raw (Includes coriander leaves; Chinese parsley)",0.247132,100,1 standard portion (~100 g)
111,Corn,"Corn, raw",0.57749,250,approximately 250 g
112,Cucumber,"Cucumber, raw (Includes cucumber, NFS)",0.351319,250,approximately 250 g
113,Eggplant,"Eggplant, raw",0.486766,250,approximately 250 g
114,Garlic,"Garlic, raw",0.967773,100,1 bulb (~100 g)
115,Jicama,"Jicama, raw (Includes yambean)",0.310509,250,approximately 250 g
116,Lettuce,"Lettuce, raw (Includes lettuce, NFS; iceberg)",0.301245,250,approximately 250 g
117,Mushrooms,"Mushrooms, raw",0.87044,250,approximately 250 g
118,Green onions,"Onions, green, raw (Includes scallions; spring onions)",0.603579,100,1 bunch (~100 g)
119,Onion,"Onions, raw (Includes red onions; onions, NFS)",0.260675,250,approximately 250 g
120,Parsley,"Parsley, raw",1.1096,100,1 standard portion (~100 g)
121,Chili pepper,"Pepper, hot chili, raw (Includes Jalapeno)",0.501985,250,approximately 250 g
122,Green bell pepper,"Pepper, sweet, green, raw",0.381545,250,approximately 250 g
123,Radish,"Radish, raw",0.3886,250,approximately 250 g
124,Seaweed,"Seaweed, raw (Includes blanched; sea moss; kelp; laver)",3.933914,250,approximately 250 g
125,Snow peas,"Snowpeas, raw (Includes pea pod; Chinese pea pod; sugar peas)",1.063511,250,approximately 250 g
126,Yellow summer squash,"Summer squash, yellow, raw (Includes summer squash, NS as to color)",0.369602,250,approximately 250 g
127,Zucchini,"Summer squash, green, raw (Includes zucchini)",0.39328,250,approximately 250 g
128,Turnip,"Turnip, raw",0.383349,250,approximately 250 g
129,Butter,"Butter, stick (Includes pat)",0.846986,250,1 standard package (~250 g)
130,Ghee,"Ghee, clarified butter",3.190637,250,1 standard package (~250 g)
131,Coconut oil,Coconut oil,1.268132,250,1 standard bottle (~250 g)
132,Corn oil,"Corn oil (Includes Mazola Corn Oil; Mazola oil, NFS; Wesson Corn Oil)",0.246574,250,1 standard bottle (~250 g)
133,Olive oil,Olive oil,1.036723,250,1 standard bottle (~250 g)
134,Sesame oil,Sesame oil,2.252267,250,1 standard bottle (~250 g)
135,White sugar,"Sugar, white, granulated or lump (Includes sugar, white, NS as to granulated or confectioner's)",0.133442,100,1 standard portion (~100 g)
